GRU 1,LSTM 1,LSTM 2,MLP 1,RNN 1,ARIMA,Naive,real,t
0.594470024,0.597993851,0.560019493,0.402979098,0.567702591,0.3375706,0.575691807,0.594347451,57
0.567741513,0.601184845,0.570996642,0.430211269,0.59961611,0.338731301,0.594347451,0.584022214,58
0.589126945,0.605532408,0.583257437,0.447983318,0.565567255,0.348980283,0.584022214,0.584963774,59
0.61851263,0.617008626,0.586335659,0.453747665,0.600194395,0.355092652,0.584963774,0.584229677,60
0.626832664,0.625738025,0.589128673,0.435788255,0.564005256,0.340919514,0.584229677,0.593533561,61
0.629173577,0.622455001,0.594078124,0.397597309,0.529989481,0.296462405,0.593533561,0.590996138,62
0.570111573,0.612638831,0.579709947,0.430190057,0.658202529,0.280581554,0.590996138,0.591347228,63
0.581232429,0.610872149,0.602752864,0.473673254,0.502918839,0.256194701,0.591347228,0.59752322,64
0.654344141,0.632813811,0.597694695,0.488384574,0.615968645,0.267281203,0.59752322,0.583495579,65
0.702449024,0.650964558,0.59163487,0.453589857,0.578659654,0.300782912,0.583495579,0.573377805,66
0.694590211,0.645454764,0.589470923,0.446823883,0.507559717,0.300573366,0.573377805,0.596039067,67
0.68280226,0.64473778,0.596155405,0.444190408,0.517445564,0.287722576,0.596039067,0.588921515,68
0.669369638,0.64334923,0.588101208,0.438983396,0.579282641,0.313187331,0.588921515,0.581628419,69
0.659969091,0.636368275,0.587582231,0.444965871,0.527736247,0.306489002,0.581628419,0.578261147,70
0.655983448,0.632927895,0.590077341,0.442613495,0.536987126,0.287570225,0.578261147,0.580112349,71
0.652933419,0.632039249,0.585313678,0.438901785,0.562082529,0.329300101,0.580112349,0.57858032,72
0.645859182,0.628943205,0.584134638,0.432019719,0.53729856,0.301701787,0.57858032,0.577271712,73
0.636585653,0.624814272,0.58107996,0.437853954,0.560698271,0.331206487,0.577271712,0.572531997,74
0.636233091,0.62277633,0.580699682,0.438715133,0.544727385,0.326465968,0.572531997,0.57004245,75
0.64162302,0.621521235,0.578490734,0.435639357,0.547439635,0.324879148,0.57004245,0.567393317,76
0.637852252,0.619537294,0.575079381,0.425816751,0.547740877,0.330887384,0.567393317,0.577096167,77
0.622736812,0.617899418,0.575381279,0.432746745,0.5567711,0.299223924,0.577096167,0.594459162,78
0.622300386,0.622802258,0.584362507,0.440459411,0.554138303,0.304811173,0.594459162,0.590868469,79
0.63078177,0.628755689,0.583834112,0.456285295,0.597027719,0.293624873,0.590868469,0.583288117,80
0.655072987,0.633053541,0.590511024,0.451373099,0.531664968,0.297500943,0.583288117,0.57728767,81
0.659664929,0.634096384,0.588,0.442714784,0.567148387,0.320714043,0.57728767,0.568478504,82
0.651794434,0.628251851,0.583625019,0.422937034,0.525245488,0.31579882,0.568478504,0.57542051,83
0.627791524,0.620474219,0.578875244,0.42713992,0.556134284,0.320868352,0.57542051,0.544189461,84
0.622450352,0.607362688,0.566882133,0.415352386,0.530216813,0.338149597,0.544189461,0.563004692,85
0.611749351,0.602270126,0.566479921,0.425536546,0.548758984,0.356355471,0.563004692,0.572978839,86
0.60067606,0.606335878,0.569936693,0.417571523,0.552683949,0.369952244,0.572978839,0.561999298,87
0.607103705,0.602415621,0.560651422,0.427118429,0.576262057,0.381144871,0.561999298,0.544444799,88
0.614409029,0.594453752,0.5645895,0.388864316,0.499359488,0.384349346,0.544444799,0.550317577,89
0.563917756,0.582164466,0.552471399,0.402734372,0.610915124,0.398111191,0.550317577,0.575564138,90
0.554752946,0.582449257,0.568657875,0.421051837,0.512570202,0.393108048,0.575564138,0.600284064,91
0.582174659,0.600066781,0.572662115,0.444270614,0.626821935,0.412298712,0.600284064,0.615205388,92
