GRU 1,LSTM 1,LSTM 2,MLP 1,RNN 1,ARIMA,real,t
0.496887088,0.554932892,0.518188417,0.384798188,0.534057856,0.71667761,0.516995947,439
0.464666933,0.553294182,0.512129486,0.389252223,0.539134741,0.710974514,0.490616322,440
0.478672147,0.555400133,0.510474026,0.394467466,0.542190433,0.715968572,0.493983595,441
0.396722734,0.533244014,0.490875304,0.382559405,0.561119556,0.667011385,0.494238933,442
0.561092854,0.572586656,0.509640038,0.323019564,0.546499431,0.631908266,0.478407967,443
0.566609502,0.529388249,0.481508672,0.360263656,0.556194961,0.663916978,0.497558329,444
0.611666679,0.528842092,0.480349123,0.396735412,0.530560434,0.653519828,0.500893684,445
0.469168156,0.52431047,0.485803068,0.348956288,0.53095907,0.712659548,0.471960678,446
0.45120731,0.532238126,0.48742336,0.34201682,0.532701671,0.700576787,0.472184099,447
0.42328006,0.53354758,0.474711955,0.330868802,0.53459698,0.704937317,0.45719894,448
0.446853757,0.529384196,0.471351147,0.334002104,0.530496836,0.721807191,0.474928984,449
0.420786262,0.521632135,0.451252401,0.326361424,0.537997365,0.72092061,0.470987201,450
0.454402685,0.516000032,0.468859613,0.299641391,0.529395282,0.706889579,0.477179152,451
0.440968484,0.513987601,0.459151447,0.306047204,0.534488738,0.689215677,0.46351856,452
0.458452165,0.511758447,0.470856905,0.312480045,0.524290681,0.690931085,0.462513166,453
0.397830725,0.515337169,0.456365049,0.31485988,0.53061831,0.70220112,0.429893715,454
0.401971132,0.515436649,0.459852695,0.301202537,0.527900696,0.640941388,0.450081389,455
0.372094989,0.51214838,0.432399273,0.293460436,0.537301183,0.627575124,0.456480802,456
0.432088763,0.50118494,0.447858512,0.276506333,0.528151572,0.63042654,0.437027225,457
0.432592154,0.498238564,0.441591084,0.276656231,0.532260895,0.667140713,0.431202324,458
0.420132101,0.49219653,0.438285828,0.279416986,0.526496112,0.596241582,0.410248636,459
0.388974905,0.496294707,0.432657719,0.270963041,0.519419253,0.618280887,0.406929239,460
0.348352432,0.491121352,0.409163713,0.257588575,0.523585677,0.641580924,0.37429383,461
0.345701665,0.475008428,0.406593978,0.2425871,0.520784378,0.619485719,0.383278542,462
0.294577181,0.465813309,0.378609002,0.225369371,0.529022992,0.6452397,0.41663209,463
0.33103773,0.454527348,0.38791576,0.196982344,0.521159947,0.650986602,0.425377422,464
0.33973217,0.433904141,0.397293091,0.202394399,0.531331182,0.671067105,0.44060196,465
0.379259884,0.447890311,0.415903866,0.207366936,0.526617944,0.690104808,0.449857968,466
0.365726918,0.462891549,0.43302989,0.220258444,0.525406837,0.69732814,0.437729405,467
0.382194996,0.477706969,0.439153075,0.251346388,0.527244866,0.726655656,0.443235135,468
0.377760589,0.491408706,0.437004864,0.25666883,0.52544558,0.73569715,0.451629377,469
0.369891107,0.488967031,0.438325405,0.265109099,0.527733266,0.75512667,0.433979126,470
0.376778662,0.489773214,0.441572189,0.271440231,0.533348978,0.737176872,0.447224793,471
0.376345038,0.495393217,0.436612546,0.260489661,0.537083507,0.716348482,0.449474961,472
0.428682804,0.494727492,0.445464075,0.261058475,0.53223002,0.726933929,0.452682647,473
0.442023575,0.491549462,0.439452767,0.278107627,0.533774793,0.707878388,0.459640612,474
0.437327027,0.492590189,0.44776094,0.276985118,0.525268495,0.697864525,0.466423032,475
0.403934807,0.497756928,0.449840605,0.278692166,0.524684191,0.743737,0.46433245,476
0.388613045,0.498919338,0.454685032,0.286721168,0.527699709,0.734900371,0.469614759,477
0.402431339,0.509907126,0.458313406,0.283599307,0.523996413,0.73023168,0.48187099,478
0.399179071,0.507263124,0.459148049,0.294424436,0.526443958,0.736757196,0.482445501,479
0.417987108,0.510302186,0.468014181,0.307660351,0.524812579,0.70112547,0.485701063,480
0.404692054,0.517340958,0.471833527,0.303905082,0.525465846,0.728105118,0.474019342,481
0.415499598,0.519450545,0.476090789,0.31486188,0.524410307,0.701245098,0.464300533,482
0.415072978,0.523576677,0.466786265,0.323981871,0.523550868,0.738319452,0.480977307,483
0.390135288,0.519174099,0.458961546,0.318632655,0.524606287,0.762914024,0.470125435,484
0.401538789,0.517238379,0.467564166,0.309349569,0.52439481,0.753017179,0.472216016,485
0.391167909,0.517382026,0.459742606,0.306732,0.531855702,0.756276143,0.480642175,486
0.419551134,0.516055942,0.468539059,0.305570559,0.526892126,0.773782971,0.477530242,487
0.429733902,0.51952678,0.468315899,0.309995353,0.526991725,0.789781856,0.482126329,488
0.427508831,0.51649183,0.467282951,0.316713957,0.526618659,0.783448782,0.468609365,489
0.411826521,0.51671946,0.472747982,0.31992471,0.52577424,0.803428172,0.473317162,490
0.405432373,0.52508688,0.46357584,0.310127234,0.525196791,0.813683005,0.464651623,491
0.418155611,0.517424524,0.464687288,0.309945614,0.521919549,0.810898336,0.461252434,492
0.423867881,0.516784787,0.454610646,0.314187429,0.516680241,0.82682177,0.484376496,493
0.34052515,0.502243757,0.450055718,0.312369982,0.527422369,0.831710432,0.482764674,494
0.3807877,0.516201556,0.472259521,0.288891034,0.524016738,0.831947311,0.464029236,495
0.392961353,0.519112468,0.469304383,0.290098592,0.534789681,0.804765292,0.466949666,496
0.446234941,0.516499221,0.464422643,0.323979282,0.529833198,0.814205734,0.46889662,497
0.443983227,0.521928847,0.463301897,0.311493736,0.517784178,0.824719033,0.459991702,498
0.391629428,0.509884357,0.452605069,0.312379331,0.527703762,0.818511296,0.453911461,499
0.390905797,0.509970844,0.454996228,0.304682071,0.525155604,0.813195245,0.437107019,500
0.363172621,0.512550116,0.450826943,0.283530663,0.529264748,0.788134954,0.45638505,501
0.39785859,0.50910902,0.437255085,0.284120014,0.530469418,0.810933588,0.450623983,502
0.424319118,0.496480405,0.446944892,0.282192256,0.525410771,0.805888366,0.427547796,503
0.401522279,0.497611165,0.440455735,0.280729078,0.528537691,0.810860173,0.443235135,504
