Date,Close,Open,Max,Min,Volume
13-07-2022,7944.9,7991.3,8002.6,7891.5,198.61
12-07-2022,8014.8,8029,8071.3,7893.1,365.8
11-07-2022,8065.2,7994.4,8099.8,7980.4,130.23
08-07-2022,8100.3,8099,8137.9,8034.1,147.63
07-07-2022,8122.5,8026.6,8128.9,7998.6,200.24
06-07-2022,7948.6,8040.5,8061.7,7939.7,249.44
05-07-2022,7959.4,8191.2,8209.5,7959.4,193.25
04-07-2022,8161.8,8226.2,8240.4,8161.8,117.45
01-07-2022,8176.1,8043,8206.9,8027.3,150.84
30-06-2022,8098.7,8094.8,8117.2,7994.2,222.96
29-06-2022,8188,8236.3,8262.9,8159,139.28
28-06-2022,8317.5,8292,8374.8,8278.6,127.86
27-06-2022,8242.6,8266.1,8309.9,8185.5,132.6
24-06-2022,8244.1,8129.5,8262.3,8108.5,174.31
23-06-2022,8106.4,8097.5,8172.9,8034.3,195.48
22-06-2022,8145.4,8158.3,8193.4,8066.6,162.16
21-06-2022,8235.6,8324.5,8361.4,8222.8,157.76
20-06-2022,8286,8180.4,8297,8159,143.71
17-06-2022,8145.9,8107.6,8236,8025.6,395.31
16-06-2022,8078.1,8157.5,8172.1,8034.7,162.99
15-06-2022,8174.7,8201.2,8242.2,8097.7,194.1
14-06-2022,8066.4,8229.2,8280.4,8066.4,175.61
13-06-2022,8183.3,8312.9,8312.9,8159,266.91
10-06-2022,8390.6,8662,8671.3,8362.8,271.5
09-06-2022,8711.2,8812.5,8836.3,8707.8,174.01
08-06-2022,8842.7,8876.7,8881.6,8791,145.18
07-06-2022,8841.6,8793.3,8848.8,8793.3,139.32
06-06-2022,8836.3,8785.3,8852.3,8768.2,124.14
03-06-2022,8724.8,8800.7,8808.2,8706.4,95.87
02-06-2022,8744.1,8778.9,8793.2,8709,103.69
01-06-2022,8747.2,8881.3,8909.3,8736.7,163.2
31-05-2022,8851.5,8898.8,8922.8,8836.9,314.82
30-05-2022,8930.8,8975.6,8992.7,8905.6,159.28
27-05-2022,8933.6,8904,8937.7,8873,194.95
26-05-2022,8888.8,8787.5,8901.2,8780,203.82
25-05-2022,8760.2,8723.1,8773.9,8652.2,203.49
24-05-2022,8631.2,8537.8,8654,8534.3,207.03
23-05-2022,8625.8,8600.4,8625.8,8514.7,166.88
20-05-2022,8484.5,8464.9,8546.9,8456.1,172.38
19-05-2022,8406,8416.1,8436.6,8341.7,155.48
18-05-2022,8476.4,8492.8,8546.4,8454.8,156.4
17-05-2022,8475.7,8422.5,8488.9,8409.4,156.31
16-05-2022,8353.7,8316.3,8383.2,8284.8,118.78
13-05-2022,8338.1,8263.4,8338.1,8244.7,148.6
12-05-2022,8200.4,8183.2,8257.1,8134.5,202.06
11-05-2022,8312.6,8187.1,8316.8,8138.5,199.58
10-05-2022,8139.2,8219.3,8259,8138.9,204.42
09-05-2022,8139.2,8280.1,8358.4,8139.2,192.93
06-05-2022,8322,8398.6,8406.5,8283.6,314.49
05-05-2022,8434.7,8636.7,8651.2,8427.6,252.4
04-05-2022,8500.5,8594.8,8612.1,8498.4,158.31
03-05-2022,8590.2,8501.9,8590.2,8477.1,173.28
02-05-2022,8436,8516.6,8563.2,8350,158.84
29-04-2022,8584.2,8572.1,8617.3,8526,218.57
28-04-2022,8512.2,8515.8,8554.9,8415.8,234.74
27-04-2022,8477.7,8458.8,8506.9,8344.9,243.35
26-04-2022,8439.3,8687.7,8703.8,8435.3,321.48
25-04-2022,8574.6,8535.6,8656.1,8511.1,189.83
22-04-2022,8652.3,8712.5,8788.7,8652.3,220.99
21-04-2022,8814.6,8791.6,8877.7,8774.6,208.12
20-04-2022,8769.5,8713.4,8816.2,8706.8,188.72
19-04-2022,8694,8677,8722.2,8619.1,157.02
14-04-2022,8699,8626.3,8756.8,8606,172.58
13-04-2022,8617.8,8533.4,8617.8,8532.9,161.72
12-04-2022,8578,8469.8,8612.4,8446.3,194.8
11-04-2022,8585,8580.9,8637.2,8544,167.8
08-04-2022,8606.4,8562.2,8625.3,8543.1,175.19
07-04-2022,8467.4,8512.7,8635.2,8451,223.34
06-04-2022,8482.1,8600.6,8635.6,8418,273.33
05-04-2022,8623.3,8529.8,8640.3,8505.7,180.39
04-04-2022,8520.8,8536.1,8546.4,8432.9,141.86
01-04-2022,8503.7,8481.7,8533,8442.8,150.41
31-03-2022,8445.1,8562.6,8588.3,8445.1,220.12
30-03-2022,8550.6,8583.3,8597.4,8508.9,185.39
29-03-2022,8614.6,8451,8621,8419.7,257.81
28-03-2022,8365.6,8354.4,8485.7,8354.4,167.96
25-03-2022,8330.6,8314.1,8363.2,8286.5,156.19
24-03-2022,8305.1,8352.1,8380,8274.5,175.54
23-03-2022,8328.4,8509.6,8522.2,8328.4,184.04
22-03-2022,8487.2,8415.7,8487.2,8400.7,176.35
21-03-2022,8389.2,8417.3,8465.6,8389.2,149.78
18-03-2022,8417.6,8422.4,8434.1,8309.2,336.65
17-03-2022,8412,8409.5,8445.8,8317.4,243.53
16-03-2022,8380.4,8375.7,8475.5,8324.6,331.7
15-03-2022,8236.1,8150.2,8286.7,8092.7,238.01
14-03-2022,8234.4,8228.9,8313.4,8190.3,236.74
11-03-2022,8142.1,8115.3,8375.3,8068.1,333.21
10-03-2022,8069.3,8166.5,8197.1,7997.2,320.3
09-03-2022,8163.1,8043.4,8163.1,7976.3,358.26
08-03-2022,7783.4,7569.8,7923.7,7566.1,372.8
07-03-2022,7644.6,7510.4,7769.7,7287.7,469.18
04-03-2022,7720.9,7988.5,8000.2,7719,395.65
03-03-2022,8011.4,8296.1,8349.6,7978.4,297.39
02-03-2022,8321,8145.9,8371,8071.2,339.7
01-03-2022,8188.2,8462.1,8510.3,8188.2,360.17
28-02-2022,8479.2,8302.8,8500.4,8286.9,396.64
25-02-2022,8486.6,8242.9,8496.5,8188.1,381.38
24-02-2022,8198.5,8084.2,8254.2,8048,526.12
23-02-2022,8440.1,8519.1,8607.5,8410.7,190.89
22-02-2022,8493.2,8295.2,8551.1,8262.6,231.61
21-02-2022,8488.9,8638.8,8666.4,8439,164.76
18-02-2022,8590,8678.9,8708,8564.1,189.69
17-02-2022,8671.1,8713,8749.7,8631.8,171.63
16-02-2022,8737.2,8735.3,8798,8678.2,171.25
15-02-2022,8718,8533.3,8721.1,8521.2,207.32
14-02-2022,8573.8,8583.9,8643.2,8504.5,310.67
11-02-2022,8798.1,8797.3,8833.5,8766.5,213.21
10-02-2022,8886.2,8871.5,8912.2,8819.1,281.27
09-02-2022,8846.4,8736.3,8850.2,8716.9,262.48
08-02-2022,8674.6,8576.4,8702.3,8572.5,282.9
07-02-2022,8558.4,8646.3,8649.8,8509,255.6
04-02-2022,8589.3,8741.6,8770.1,8551.1,314.16
03-02-2022,8689.4,8694.4,8735.6,8660.1,276.25
02-02-2022,8713.2,8782.9,8785.2,8713.2,182.82
01-02-2022,8726.7,8679.9,8745.1,8665,208.66
31-01-2022,8612.8,8697.1,8705.1,8564.6,213.54
28-01-2022,8609.8,8705.7,8713.1,8515,187.56
27-01-2022,8706,8503.6,8740.6,8489.8,267.82
26-01-2022,8620.2,8526.6,8696.4,8525.6,206.01
25-01-2022,8479.5,8488.4,8529.9,8408.9,200.73
24-01-2022,8417.8,8660,8673.5,8361.4,275.31
21-01-2022,8694.7,8702.3,8760.8,8622.1,227.84
20-01-2022,8814.6,8783.3,8825.7,8737.8,162.95
19-01-2022,8774.9,8758.6,8856.9,8749,226.23
18-01-2022,8781.6,8811,8820.9,8761.8,158.13
17-01-2022,8838.7,8848.4,8866.6,8829.4,136.56
14-01-2022,8806.6,8767.4,8810.1,8739.7,158.55
13-01-2022,8816.9,8755.9,8817.1,8750.3,155.32
12-01-2022,8770.3,8803.1,8804.1,8754.8,164.26
11-01-2022,8755.9,8726.8,8790,8719,169.26
10-01-2022,8706.9,8771.4,8775.4,8679.5,183.56
07-01-2022,8751.8,8781.9,8796.5,8709.5,170.22
06-01-2022,8789.9,8664.6,8789.9,8628.9,174.96
05-01-2022,8790.8,8799.6,8821.6,8768.1,146.05
04-01-2022,8795.8,8821.6,8834.1,8784.7,192.38
03-01-2022,8761.2,8729.7,8808.1,8725,117.5
30-12-2021,8713.8,8665.8,8728,8661.5,127.21
29-12-2021,8673.7,8691.5,8697.6,8641.3,110.78
28-12-2021,8688.9,8623.5,8703.6,8617,90.38
27-12-2021,8622.1,8512.2,8634.3,8508.4,93.36
23-12-2021,8563.7,8476.8,8587.7,8469.7,142.49
22-12-2021,8459.1,8388.9,8461.8,8373.2,115.84
21-12-2021,8387.5,8344.7,8394.2,8274.8,143.38
20-12-2021,8242.4,8113.5,8271.7,8082.4,172.11
17-12-2021,8311.6,8328.5,8344.4,8246.8,323.19
16-12-2021,8380,8387.4,8433.7,8356.8,198.86
15-12-2021,8275,8382.9,8382.9,8268,147.41
14-12-2021,8378.5,8358.8,8411.7,8356.2,163.94
13-12-2021,8322.7,8380.6,8408.9,8289.6,140.41
10-12-2021,8360.2,8356.7,8410.4,8339.5,116.32
09-12-2021,8399.6,8490.3,8490.3,8394.3,144.64
08-12-2021,8478.4,8527.6,8582.4,8462.5,221.53
07-12-2021,8559.5,8523.6,8560.9,8472.7,170.7
06-12-2021,8439.7,8323.8,8446.7,8288.6,143.54
03-12-2021,8241.7,8371.9,8374.3,8210.2,169.54
02-12-2021,8300.8,8335.7,8390,8264.3,197.93
01-12-2021,8452.6,8357.1,8474.2,8342,204
30-11-2021,8305.1,8345.5,8414,8260.7,369.4
29-11-2021,8455.2,8487.6,8562,8431.7,240.65
26-11-2021,8402.7,8592.3,8592.3,8386.9,453.06
25-11-2021,8840.9,8814.6,8850.1,8795.1,118.56
